,PatentNumber,IPC
2997,WO2004096121-A2,A61K-000/00
2998,WO2004096121-A2,A41D-019/00
2999,CN1543795-A,A01N-059/00
3000,CN1543795-A,A61L-009/00
3001,WO2004099240-A2,C07K-014/165
3002,WO2004099240-A2,A61K-038/04
3003,WO2004093888-A1,A61K-031/737
3004,WO2004093888-A1,A61P-031/00
3005,WO2004093860-A1,A61K-031/16
3006,WO2004093860-A1,A61K-031/216
3007,WO2004094675-A2,C12Q-001/70
3008,WO2004094675-A2,C07H-021/04
3009,WO2004094667-A2,C12Q-001/68
3010,WO2004094667-A2,C12Q-001/70
3011,WO2004094991-A2,G01N-000/00
3012,WO2004094991-A2,A61K-038/00
3013,EP1473037-A1,A61K-031/7056
3014,EP1473037-A1,A61P-031/14
3015,GB2401175-A,C12Q-001/68
3016,GB2401175-A,C12N-015/50
3017,WO2004091653-A1,A61K-038/21
3018,WO2004091653-A1,A61K-031/7056
3019,WO2004092208-A2,C07K-014/165
3020,WO2004092208-A2,C07K-014/005
3021,WO2004091524-A2,A61K-000/00
3022,WO2004091524-A2,A61K-039/00
3023,WO2004092360-A2,C12N-007/00
3024,WO2004092360-A2,C07K-014/165
3025,CN1539503-A,A61K-039/215
3026,CN1539503-A,A61P-031/14
3027,CN1539967-A,C12N-015/11
3028,CN1539967-A,A61K-048/00
3029,JP2004292399-A,A61K-031/135
3030,JP2004292399-A,A61P-031/12
3031,WO2004089283-A2,A61K-000/00
3032,WO2004089283-A2,A61K-038/21
3033,WO2004090544-A2,G01N-033/569
3034,WO2004090544-A2,C12P-021/06
3035,CN1535724-A,A61K-038/21
3036,CN1535724-A,A61K-038/38
3037,WO2004089983-A2,C07K-014/65
3038,WO2004089983-A2,A61K-038/21
3039,WO2004083258-A2,C08F-000/00
3040,WO2004083258-A2,C08F-002/00
3041,CN1528886-A,C12N-007/00
3042,CN1528886-A,C12Q-001/18
3043,US2004175829-A1,C12N-015/86
3044,US2004175829-A1,C12N-007/00
3045,WO2004073628-A2,A61K-000/00
3046,WO2004073628-A2,A61K-031/00
3047,WO2004076677-A2,C12Q-000/00
3048,WO2004076677-A2,C12P-021/08
3049,WO2004072231-A2,C12N-000/00
3050,WO2004072231-A2,C12Q-001/70
3051,RU2234313-C1,A61K-031/165
3052,RU2234313-C1,A61P-031/14
3053,WO2004067031-A1,A61K-039/10
3054,WO2004067031-A1,A61K-039/295
3055,CN1513560-A,A61L-002/00
3056,CN1513560-A,A61L-009/00
3057,CN1513874-A,C07K-016/10
3058,CN1513874-A,A61K-039/395
3059,CN1514010-A,C12Q-001/04
3060,CN1514010-A,C12Q-001/68
3061,WO2004059280-A2,G01N-000/00
3062,WO2004059280-A2,C12Q-001/70
3063,WO2004058797-A2,C07K-000/00
3064,WO2004058797-A2,A61K-039/395
3065,TJ386-C,A61K-039/295
3066,TJ386-C,A61P-031/00
3067,WO2004056979-A2,C12N-005/10
3068,WO2004056979-A2,C07K-014/075
3069,WO2004057021-A2,C12Q-001/68
3070,WO2004057021-A2,C12Q-001/70
3071,CN1502367-A,A61K-039/215
3072,CN1502367-A,A61K-009/72
3073,KR2004046594-Y1,C12Q-001/68
3074,WO2004045365-A2,A61B-000/00
3075,WO2004045365-A2,C12Q-001/70
3076,WO2004045520-A2,A61K-000/00
3077,WO2004045520-A2,A61K-039/00
3078,WO2004044191-A1,C12N-009/00
3079,WO2004044191-A1,C07K-016/08
3080,WO2004042041-A1,C12N-005/08
3081,WO2004042041-A1,C12N-005/10
3082,WO2004040976-A1,A01N-001/02
3083,WO2004040976-A1,A61K-039/12
3084,WO2004037237-A1,A61K-031/047
3085,WO2004037237-A1,A61K-031/045
3086,WO2004032829-A2,A61K-000/00
3087,WO2004032829-A2,A61K-039/395
3088,WO2004032614-A2,A01K-067/027
3089,WO2004032614-A2,C12N-015/00
3090,US2004071757-A1,A61K-035/78
3091,US2004071757-A1,A61K-009/70
3092,CN1488641-A,C07K-014/165
3093,CN1488641-A,A61K-038/16
3094,CN1488645-A,A61K-039/395
3095,CN1488645-A,A61P-011/00
3096,CN1481864-A,A61K-035/78
3097,CN1481864-A,A61P-011/00
3098,WO2004019682-A1,A01N-033/12
3099,WO2004019682-A1,A01N-037/44
3100,DE20315159-U1,C07H-021/00
3101,DE20315159-U1,C12Q-001/70
3102,WO2004011651-A1,C12N-015/50
3103,WO2004011651-A1,C07K-014/165
3104,WO2004011647-A1,C12N-015/11
3105,WO2004011647-A1,A61K-031/711
3106,CN1472342-A,C12Q-001/68
3107,CN1472342-A,G01N-033/50
3108,CN1472336-A,C12Q-001/37
3109,CN1472336-A,A61K-031/165
3110,WO2004009029-A2,A61K-000/00
3111,WO2004009029-A2,A61K-039/12
3112,US2004019022-A1,A61K-038/12
3113,US2004019022-A1,A61K-031/496
3114,CN1469126-A,G01N-033/569
3115,CN1469126-A,G01N-033/53
3116,CN1468959-A,C12N-015/50
3117,CN1468959-A,G01N-033/68
3118,CN1468955-A,C12N-007/00
3119,CN1468955-A,A61K-039/215
3120,WO2004005493-A1,C12N-005/00
3121,WO2004005493-A1,C12N-005/06
3122,US2004009245-A1,A61K-035/78
3123,US2004009245-A1,A01N-025/00
3124,CN1466996-A,A61K-039/395
3125,CN1466996-A,A61K-031/195
3126,WO2004003153-A2,C12N-000/00
3127,WO2004003153-A2,C12N-001/00
3128,WO2004002415-A2,A61K-000/00
3129,WO2004002415-A2,A61K-039/385
3130,US2004005998-A1,A61K-038/16
3131,US2004005998-A1,A61K-031/716
3132,WO2004000333-A1,A61K-031/765
3133,WO2004000333-A1,A61K-031/44
3134,WO2003105878-A1,A61K-035/78
3135,WO2003105878-A1,A01N-037/04
3136,WO2003103589-A2,A61K-000/00
3137,WO2003103589-A2,A61K-038/20
3138,WO2003101199-A1,A01N-043/76
3139,WO2003101199-A1,A61K-031/42
3140,WO2003101484-A1,A61K-039/08
3141,WO2003101484-A1,A61K-039/02
3142,CN1460474-A,A61K-031/395
3143,CN1460474-A,A61P-011/00
3144,WO2003100035-A2,C12N-000/00
3145,WO2003100035-A2,C12Q-001/70
3146,WO2003099229-A2,A61K-000/00
3147,WO2003099229-A2,C12P-019/34
3148,US2003221199-A1,A01K-067/027
3149,US2003221199-A1,A61K-038/17
3150,CN1457876-A,A61K-035/78
3151,CN1457876-A,A61P-011/00
3152,CN1458171-A,C07K-016/06
3153,CN1458171-A,C07K-016/10
3154,CN1458281-A,C12P-019/34
3155,CN1458281-A,A61K-031/7088
3156,WO2003092630-A2,A61K-000/00
3157,WO2003092630-A2,C12Q-001/70
3158,WO2003092631-A2,A61K-000/00
3159,WO2003092631-A2,A61K-038/00
3160,WO2003092618-A2,A61K-000/00
3161,WO2003092618-A2,A61K-048/00
3162,CN1454996-A,C12N-015/10
3163,CN1454996-A,C12N-015/33
3164,CN1455003-A,C12Q-001/68
3165,CN1454593-A,A61K-031/365
3166,CN1454593-A,A61K-031/7048
3167,CN1453368-A,C12P-019/34
3168,CN1453368-A,C12Q-001/68
3169,CN1453590-A,G01N-033/535
3170,CN1453590-A,G01N-033/566
3171,CN1453589-A,G01N-033/531
3172,CN1453589-A,G01N-033/543
3173,CN1453588-A,G01N-033/531
3174,CN1453588-A,G01N-033/543
3175,US2003203887-A1,A61K-031/555
3176,US2003203887-A1,A61K-031/325
3177,WO2003088972-A1,A61K-031/519
3178,WO2003088972-A1,A01N-043/90
3179,CN1451434-A,A61K-035/78
3180,CN1451434-A,A61P-011/00
3181,CN1449751-A,A61K-031/225
3182,CN1449751-A,A61K-031/335
3183,CN1450164-A,C12N-007/00
3184,CN1450164-A,A01N-063/00
3185,CN1449827-A,A61K-039/215
3186,CN1449827-A,A61K-048/00
3187,CN1449826-A,A61K-039/215
3188,CN1449826-A,A61K-048/00
3189,CN1449822-A,A61K-009/08
3190,CN1449822-A,A61K-009/12
3191,CN1448179-A,A61K-035/78
3192,CN1448179-A,A61P-031/14
3193,WO2003087319-A2,C12N-000/00
3194,WO2003087319-A2,A01N-037/18
3195,WO2003083083-A2,C12N-000/00
3196,WO2003083083-A2,A61K-039/00
3197,WO2003101479-A1,A61K-038/28
3198,WO2003101479-A1,A61K-031/375
3199,WO2003076605-A1,C12N-007/01
3200,WO2003076605-A1,C12N-015/86
3201,CN1442203-A,A61K-039/395
3202,CN1442203-A,A61K-031/522
3203,US2003152593-A1,A61K-039/02
3204,US2003152593-A1,A61K-039/108
3205,WO2003066005-A2,A61K-000/00
3206,WO2003066005-A2,C07D-233/14
3207,WO2003064450-A2,C07K-000/00
3208,WO2003064450-A2,C12Q-001/70
3209,KR2003063961-A,C12N-001/20
3210,KR2003063960-A,C12N-001/20
3211,WO2003061634-A1,A61K-009/58
3212,WO2003061634-A1,A61K-031/56
3213,WO2003062424-A1,C12N-015/11
3214,WO2003062424-A1,A61K-039/125
3215,WO2003051335-A1,A61K-009/12
3216,WO2003051335-A1,A61P-031/04
3217,WO2003050119-A2,C07D-471/04
3218,WO2003050119-A2,A61K-031/437
3219,WO2003050117-A1,C07D-471/04
3220,WO2003050117-A1,A61K-031/437
3221,WO2003050118-A1,C07D-471/04
3222,WO2003050118-A1,A61K-031/437
3223,US2003108569-A1,A61K-039/12
3224,US2003108569-A1,C12N-007/00
3225,WO2003045401-A1,A61K-031/702
3226,WO2003045401-A1,A23K-001/16
3227,WO2003039575-A2,A61K-038/17
3228,WO2003039575-A2,A61K-035/30
3229,WO2003038058-A2,C12N-000/00
3230,WO2003038058-A2,A01N-037/18
3231,WO2003036299-A2,G01N-033/569
3232,WO2003036299-A2,C12Q-001/70
3233,WO2003024354-A2,A61D-000/00
3234,WO2003024354-A2,A61K-038/20
3235,WO2003024478-A1,A61K-038/18
3236,WO2003024478-A1,A61K-048/00
3237,WO2003022242-A1,A61K-009/00
3238,WO2003022242-A1,A61K-031/365
3239,WO2003018030-A1,A61K-031/70
3240,WO2003018030-A1,A61K-031/7072
3241,US2003044384-A1,A61K-048/00
3242,US2003044384-A1,C12N-015/86
3243,FR2828405-A1,A61K-039/215
3244,FR2828405-A1,A61K-031/7088
3245,US6514502-B1,A61K-039/215
3246,JP2003024077-A,C12N-015/09
3247,JP2003024077-A,C12Q-001/68
3248,WO2003002102-A1,A61K-009/58
3249,WO2003002102-A1,A61K-031/365
3250,US2002182217-A1,A01N-059/10
3251,US2002182217-A1,A61K-033/14
3252,US2002182227-A1,C12Q-001/70
3253,US2002182227-A1,A61K-039/12
3254,WO200292827-A2,C12N-015/86
3255,WO200292827-A2,A61K-039/42
3256,WO200290993-A2,G01N-033/68
3257,WO200290993-A2,C12Q-001/68
3258,WO200290982-A1,G01N-033/50
3259,WO200290982-A1,C12Q-001/70
3260,WO200286068-A2,C12N-000/00
3261,WO200286068-A2,C12N-015/00
3262,WO200283181-A1,A61K-048/00
3263,WO200283181-A1,A61K-039/245
3264,WO200272142-A2,A61K-039/40
3265,WO200272142-A2,C12N-015/10
3266,US6451319-B1,A61K-039/12
3267,WO200269949-A2,A61K-031/00
3268,WO200269949-A2,A61K-031/137
3269,WO200266686-A1,C12Q-001/70
3270,KR2002068923-A,A23K-001/16
3271,WO200262382-A1,A61K-039/15
3272,WO200262382-A1,A61K-039/08
3273,WO200260468-A2,A61K-038/00
3274,WO200260468-A2,A61K-038/04
3275,US2002106375-A1,A61K-038/00
3276,US2002106375-A1,A61K-039/42
3277,WO200259083-A2,C07D-000/00
3278,WO200259083-A2,C07D-471/04
3279,WO200255089-A2,A61K-031/74
3280,WO200255089-A2,A61K-031/415
3281,WO200253138-A2,A61K-031/00
3282,WO200253138-A2,A61K-031/343
3283,EP1221487-A2,C12N-015/30
3284,EP1221487-A2,A61K-039/002
3285,EP1221485-A2,C12N-015/30
3286,EP1221485-A2,A61K-039/002
3287,EP1221486-A2,C12N-015/30
3288,EP1221486-A2,A61K-039/002
3289,EP1219705-A1,C12N-007/01
3290,EP1219705-A1,A61K-035/76
3291,WO200246194-A2,C07D-471/04
3292,WO200246194-A2,A61K-031/437
3293,WO200243647-A2,A61K-000/00
3294,WO200243647-A2,C07K-014/01
3295,WO200245201-A2,H01N-000/00
3296,WO200245201-A2,A01N-000/00
3297,WO200240023-A1,A61K-031/47
3298,US2002051792-A1,A61K-039/12
3299,US2002051792-A1,A61K-039/00
3300,US6376236-B1,C12N-015/63
3301,WO200226209-A2,A61K-009/00
3302,WO200226209-A2,A61K-009/107
3303,WO200224217-A1,A61K-038/00
3304,WO200224217-A1,A61K-038/02
3305,US2002028208-A1,A61K-039/21
3306,US2002028208-A1,C07H-021/04
3307,WO200218585-A2,C12N-015/00
3308,WO200218585-A2,C12N-015/86
3309,WO200214473-A2,C12N-000/00
3310,WO200214473-A2,A01K-067/027
3311,WO200209699-A2,A61K-031/35
3312,WO200209699-A2,A61K-031/352
3313,WO200208447-A2,C12Q-000/00
3314,WO200208447-A2,C12N-001/20
3315,WO200205814-A1,A61K-031/38
3316,WO200205814-A1,A61K-031/425
3317,WO200203886-A1,A61F-002/00
3318,WO200203886-A1,A61M-037/00
3319,WO200203879-A1,A61B-019/00
3320,WO200202139-A2,A61K-039/02
3321,WO200202139-A2,A61K-039/12
3322,WO200190340-A2,C12N-015/00
3323,WO200190340-A2,C12Q-001/70
3324,WO200190302-A2,C12N-000/00
3325,WO200190302-A2,C12N-007/00
3326,WO200187229-A2,A61K-000/00
3327,WO200187229-A2,A61K-031/05
3328,WO200183737-A2,C12N-015/11
3329,WO200183737-A2,C12N-015/86
3330,WO200174295-A2,A61K-000/00
3331,WO200174295-A2,C07H-021/02
3332,WO200174861-A2,C07K-014/08
3333,WO200174861-A2,A61K-048/00
3334,WO200157204-A1,C12N-015/09
3335,WO200157204-A1,A61K-035/76
3336,WO200145735-A2,A61K-039/002
3337,WO200145735-A2,A61K-048/00
3338,WO200145718-A1,A61K-035/14
3339,WO200145718-A1,A61K-035/16
3340,EP1108787-A2,C12N-015/34
3341,EP1108787-A2,A61K-039/145
3342,WO200139803-A2,A61K-039/39
3343,WO200139803-A2,A61K-038/20
3344,WO200139797-A2,A61K-039/00
3345,WO200139797-A2,C12N-007/04
3346,WO200138313-A1,C07D-239/80
3347,WO200138313-A1,A61K-031/517
3348,WO200138312-A1,C07D-239/80
3349,WO200138312-A1,A61K-031/517
3350,WO200137837-A1,A61K-031/517
3351,WO200137837-A1,C07D-239/80
3352,WO200138314-A1,C07D-239/80
3353,WO200138314-A1,A61K-031/517
3354,EP1103610-A1,C12N-015/34
3355,EP1103610-A1,A61K-039/145
3356,WO200128338-A2,A01N-059/16
3357,WO200128338-A2,A01N-031/10
3358,WO200128552-A2,A61K-031/195
3359,WO200128552-A2,A01N-037/46
3360,WO200128340-A2,A01N-059/16
3361,WO200128340-A2,A61K-033/24
3362,WO200128339-A2,A01N-059/16
3363,WO200128339-A2,A01N-037/02
3364,WO200119322-A2,A61K-000/00
3365,WO200119322-A2,A61K-031/13
3366,WO200109303-A2,C12N-015/00
3367,WO200109303-A2,C12N-015/62
3368,WO200109290-A2,C12N-007/00
3369,WO200109290-A2,A61K-039/215
3370,WO200103681-A2,A61K-031/00
3371,WO200103681-A2,A61K-031/37
3372,WO200102551-A2,C12N-015/00
3373,WO200102551-A2,C12N-015/86
3374,WO200100234-A2,A61K-039/00
3375,WO200100234-A2,C12N-015/00
3376,WO200077260-A1,C12Q-001/68
3377,WO200077260-A1,C07H-021/04
3378,WO200077043-A2,C07K-014/13
3379,WO200077043-A2,A61K-048/00
3380,WO200070049-A2,C12N-015/12
3381,WO200070049-A2,A01K-067/027
3382,WO200066094-A2,A61K-031/00
3383,WO200066094-A2,A61K-031/675
3384,JP2000302692-A,A61K-039/215
3385,JP2000302692-A,A61K-048/00
3386,WO200063403-A2,C12N-015/85
3387,WO200063403-A2,C07K-014/505
3388,WO200062735-A2,A61K-000/00
3389,WO200062735-A2,A61K-048/00
3390,US6135941-A,C07H-021/04
3391,US6135941-A,C12Q-001/70
3392,WO200061773-A1,C12N-015/861
3393,WO200061773-A1,A61K-048/00
3394,WO200060080-A2,C12N-015/12
3395,WO200060080-A2,A61K-038/17
3396,WO200055335-A1,C12N-015/63
3397,WO200055335-A1,C12N-015/867
3398,US6122396-A,G06K-009/00
3399,WO200044883-A1,C12N-005/10
3400,WO200044883-A1,C12N-007/00
3401,DE19902924-A1,A61K-031/661
3402,DE19902924-A1,A01N-057/20
3403,WO200044359-A2,A61K-031/00
3404,WO200044359-A2,A61K-031/433
3405,WO200040273-A2,A61K-048/00
3406,WO200040273-A2,C12N-015/20
3407,EP1016416-A2,A61K-039/02
3408,EP1016416-A2,A61P-031/02
3409,US6074651-A,A61K-039/155
3410,US6074651-A,A61K-039/12
3411,RU2150280-C1,A61K-035/16
3412,RU2150280-C1,A61K-035/20
3413,WO200027423-A2,A61K-038/17
3414,WO200027423-A2,A61K-039/395
3415,WO200025820-A1,A61K-045/00
3416,WO200025820-A1,C12N-015/00
3417,WO200026417-A1,C12Q-001/70
3418,WO200026417-A1,C12N-005/10
3419,WO200024428-A2,A61K-048/00
3420,WO200024428-A2,A61K-039/39
3421,US6057112-A,C12Q-001/68
3422,US6057112-A,C07H-021/04
3423,DE19845285-A1,A61K-031/11
3424,DE19845285-A1,A61K-031/685
3425,WO200006764-A1,C12P-021/06
3426,WO200006764-A1,C12N-015/00
3427,RU2145236-C1,A61K-039/108
3428,RU2145236-C1,A61K-039/12
3429,WO200003699-A2,A61K-031/00
3430,WO200004031-A1,C07F-009/38
3431,WO200004031-A1,A01N-057/18
3432,WO200001402-A1,A61K-038/02
3433,WO200001402-A1,A61K-038/08
3434,US6001556-A,C12Q-001/70
3435,KR99085154-A,C12N-007/02
3436,WO9961613-A2,C12N-015/12
3437,WO9961613-A2,C12N-015/11
3438,WO9961600-A2,C12N-015/00
3439,WO9961600-A2,C12N-009/00
3440,WO9957271-A2,C12N-015/12
3441,WO9957271-A2,A61K-038/17
3442,WO9954317-A1,C07D-271/06
3443,WO9954317-A1,A61K-031/4196
3444,US5965394-A,C12P-021/06
3445,US5965394-A,C07H-017/00
3446,EP953641-A2,C12N-015/30
3447,EP953641-A2,A61K-039/002
3448,RU2137499-C1,A61K-039/108
3449,RU2137499-C1,A61K-039/15
3450,JP11228444-A,A61K-039/215
3451,JP11228444-A,A61P-031/14
3452,WO9939733-A1,A61K-039/00
3453,WO9939733-A1,C12N-015/86
3454,US5935822-A,C12P-021/02
3455,US5935822-A,C12N-001/100
3456,WO9938882-A1,C07H-021/04
3457,WO9938882-A1,C07K-014/81
3458,WO9938522-A1,A61K-035/78
3459,WO9938522-A1,A61K-009/08
3460,WO9934791-A1,A61K-031/33
3461,WO9934791-A1,A61K-031/335
3462,WO9929872-A1,C12N-015/45
3463,WO9929872-A1,A61K-039/155
3464,US5911999-A,A61K-039/215
3465,US5911999-A,A61K-039/225
3466,EP924295-A2,C12N-009/06
3467,EP924295-A2,A61K-039/002
3468,WO9927102-A1,C12N-015/12
3469,WO9927102-A1,C12N-015/79
3470,WO9925838-A1,C12N-015/50
3471,WO9925838-A1,A01K-067/027
3472,WO9917802-A1,A61K-039/00
3473,WO9917802-A1,A01N-033/12
3474,WO9914329-A1,C12N-015/12
3475,WO9914329-A1,A61K-038/17
3476,WO9912552-A1,A61K-031/70
3477,WO9912552-A1,C07D-000/00
3478,WO9913332-A1,G01N-033/542
3479,WO9913332-A1,C12Q-001/70
3480,WO9855626-A2,C12N-015/40
3481,WO9855626-A2,A61K-039/12
3482,WO9852605-A1,A61K-039/39
3483,WO9852605-A1,A61K-009/00
3484,WO9849195-A1,C07K-014/165
3485,WO9849195-A1,C12N-015/86
3486,WO9849190-A2,C07K-005/06
3487,WO9849190-A2,C07K-005/08
3488,CZ9800859-A3,A61K-039/395
3489,CZ9800859-A3,A61K-039/002
3490,WO9842188-A1,A01N-033/12
3491,WO9842188-A1,A61K-031/14
3492,WO9840097-A2,A61K-039/00
3493,WO9840097-A2,C12N-005/08
3494,WO9816537-A1,C07H-011/04
3495,WO9816537-A1,A61K-031/70
3496,WO9811778-A1,A01N-033/12
3497,WO9811778-A1,A01N-065/00
3498,US5686448-A,A61K-031/55
3499,US5686448-A,A61K-031/38
3500,US5672350-A,A61K-039/215
3501,WO9734008-A1,C12N-015/86
3502,WO9734008-A1,A61K-035/76
3503,WO9730590-A1,A01N-063/00
3504,WO9730590-A1,A01N-001/02
3505,WO9720036-A1,C12N-007/01
3506,WO9720036-A1,A61K-039/225
3507,WO9712617-A1,A61K-031/505
3508,WO9712617-A1,A61K-031/71
3509,EP764446-A2,A61K-039/23
3510,EP764446-A2,A61K-039/02
3511,WO9710347-A1,C12N-015/82
3512,WO9710347-A1,A01H-005/00
3513,WO9641874-A1,C12N-015/11
3514,WO9641874-A1,A61K-039/215
3515,WO9639821-A1,A01N-025/08
3516,WO9639821-A1,D03D-003/00
3517,WO9635445-A1,A61K-038/18
3518,WO9635445-A1,A23K-001/16
3519,WO9627292-A1,A01N-063/00
3520,WO9627292-A1,C12N-001/20
3521,GB2292888-A,A01N-059/02
3522,GB2292888-A,A01N-31:02
3523,US5496546-A,A61K-031/765
3524,US5496546-A,A61K-031/785
3525,EP702085-A1,C12N-015/86
3526,EP702085-A1,A61K-039/205
3527,WO9534686-A1,C12Q-001/70
3528,WO9534686-A1,C12N-001/00
3529,WO9532733-A1,A61K-039/193
3530,WO9532733-A1,A61K-039/295
3531,WO9525788-A1,C12N-007/00
3532,WO9525788-A1,A61K-031/095
3533,WO9522314-A1,A61K-009/00
3534,WO9522314-A1,A61K-035/68
3535,WO9513071-A2,A61K-031/485
3536,WO9513071-A2,A61K-031/445
3537,SU1748327-A1,A61K-039/00
3538,SU1748327-A1,A61K-039/215
3539,WO9508575-A1,C07K-016/08
3540,WO9508575-A1,A61K-039/42
3541,WO9507987-A2,C12N-015/50
3542,WO9507987-A2,A61K-039/215
3543,EP643964-A2,A61K-031/16
3544,EP643964-A2,A61K-031/245
3545,WO9424296-A2,C12N-015/86
3546,WO9424296-A2,A61K-039/265
3547,EP612532-A2,A61K-039/215
3548,EP612532-A2,A61K-039/39
3549,EP612524-A1,A61K-031/415
3550,EP612524-A1,A61K-031/41
3551,WO9416737-A1,A61K-048/00
3552,WO9416737-A1,C12N-015/12
3553,WO9411025-A1,A61K-039/225
3554,WO9411025-A1,C07K-015/04
3555,WO9406448-A1,A61K-037/00
3556,WO9406448-A1,A61K-037/04
3557,WO9323423-A1,C07K-003/00
3558,WO9323423-A1,A61K-039/12
3559,WO9323422-A1,C07K-003/00
3560,WO9323422-A1,A61K-039/12
3561,WO9323421-A1,C07K-003/00
3562,WO9323421-A1,A61K-039/12
3563,WO9319591-A1,A01K-063/00
3564,WO9319591-A1,A01N-037/18
3565,US5246831-A,C12Q-001/70
3566,US5246831-A,C07K-015/00
3567,US5244922-A,A61K-031/195
3568,US5244922-A,A61K-000/00
3569,SU1822792-A1,A61K-039/215
3570,SU1822792-A1,C12N-007/00
3571,WO9309809-A1,A61K-039/00
3572,WO9309809-A1,A61K-039/02
3573,WO9309764-A1,A61K-009/14
3574,WO9309764-A1,A61K-009/20
3575,WO9303708-A1,A61K-037/64
3576,WO9303708-A1,A61K-009/12
3577,WO9219244-A2,A61K-031/19
3578,WO9219244-A2,A61K-031/405
3579,EP510773-A1,A61K-039/215
3580,EP510773-A1,C07K-015/00
3581,JP4218773-A,G01N-033/569
3582,WO9208487-A1,A61K-035/14
3583,WO9208487-A1,A61K-039/12
3584,JP4128237-A,A61K-035/78
3585,JP4128237-A,A01N-065/00
3586,EP465204-A,A61K-039/02
3587,EP465204-A,C07K-015/00
3588,US5079239-A,A61K-031/57
3589,US5079239-A,A61K-031/58
3590,WO9116420-A,C12N-015/36
3591,WO9116420-A,C12N-015/48
3592,US5047238-A,A61K-031/74
3593,US5047238-A,A61K-037/00
3594,SU1666532-A1,C12N-005/18
3595,SU1666532-A1,C12P-021/08
3596,SU1661231-A,A61K-039/39
3597,SU1661231-A,C12N-005/18
3598,WO9102752-A,A61K-039/215
3599,WO9102752-A,C07K-013/00
3600,EP386946-A,A61K-039/12
3601,EP386946-A,A61K-039/21
3602,EP380048-A,A61K-031/44
3603,EP380048-A,A61K-031/505
3604,JP2053737-A,A61K-039/395
3605,JP2053737-A,A61K-039/42
3606,US4902720-A,A61K-031/14
3607,JP1265023-A,A61K-031/35
3608,JP1265023-A,C07D-311/62
3609,WO8904667-A,A61K-037/43
3610,WO8904667-A,C07K-007/06
3611,EP310317-A,A61K-039/02
3612,EP310317-A,A61K-039/12
3613,EP310316-A,A61K-039/225
3614,EP310316-A,A61K-039/295
3615,EP306282-A,C07C-049/163
3616,EP306282-A,C07C-049/172
3617,EP299713-A,A61K-031/335
3618,EP299713-A,A61K-031/505
3619,EP300526-A,A61K-009/18
3620,EP300526-A,A61K-031/71
3621,EP295057-A,A61K-039/215
3622,EP295057-A,A61K-039/295
3623,EP291917-A,A61K-031/52
3624,EP291917-A,C07D-473/06
3625,WO8801292-A,C12N-007/00
3626,WO8801292-A,A61K-039/215
3627,FR2601251-A1,A61K-039/22
3628,FR2601251-A1,C12P-021/00
3629,WO8800181-A,C07C-129/12
3630,WO8800181-A,A61K-031/155
3631,WO8704624-A,A61K-039/12
3632,WO8704624-A,A61K-039/215
3633,JP63183502-A,A01N-047/44
3634,JP63183502-A,A61K-031/785
3635,WO8602267-A,A61K-031/225
3636,WO8602267-A,C07C-143/12
3637,WO8505273-A,A61K-035/14
3638,WO8505273-A,C12N-007/06
3639,EP138242-A,C12N-015/00
3640,EP138242-A,A61K-039/215
3641,WO8500014-A,A61K-039/12
3642,WO8500014-A,A61K-039/00
3643,JP59218959-A,A61K-039/44
3644,JP59218959-A,G01N-033/54
3645,US4335105-A,A61K-039/12
3646,US3919413-A,C12K-005/00
3647,US3919412-A,C12K-005/00
3648,US3914408-A,C12K-005/00
3649,US3873422-A,C12K-005/00
3650,US3873422-A,C12K-007/00
3651,US2016361382-A1,A61K-031/522
3652,US2016361382-A1,A61K-031/675
3653,JP2016209802-A,A61K-031/353
3654,JP2016209802-A,A61K-036/48
3655,WO2016199964-A1,A61K-039/395
3656,WO2016199964-A1,A61P-031/12
3657,WO2016200220-A1,A61K-039/00
3658,WO2016200220-A1,A61K-039/395
3659,WO2016200113-A2,A61K-036/82
3660,WO2016200113-A2,A61K-039/145
3661,WO2016199904-A1,A61K-031/716
3662,WO2016199904-A1,A61K-038/22
3663,CN106212895-A,A23K-020/10
3664,CN106212895-A,A23K-050/75
3665,WO2016197003-A1,A61K-031/7088
3666,WO2016197003-A1,A61K-039/00
3667,CN106188280-A,A61K-039/42
3668,CN106188280-A,A61P-031/22
3669,CN106177939-A,A61K-039/39
3670,CN106177939-A,A61K-047/22
3671,CN106187933-A,A61K-031/421
3672,CN106187933-A,A61K-031/4245
3673,CN106176728-A,A61K-031/4164
3674,CN106176728-A,A61K-031/426
3675,WO2016191545-A1,A61K-038/16
3676,WO2016191545-A1,A61K-048/00
3677,WO2016187118-A1,A61K-039/00
3678,WO2016187118-A1,A61K-039/12
3679,US2016339097-A1,A61K-039/215
3680,US2016339097-A1,C07K-014/005
3681,WO2016183093-A1,A61K-031/41
3682,WO2016183093-A1,A61K-031/4164
3683,WO2016179509-A1,C12Q-001/68
3684,WO2016179509-A1,C12Q-001/70
3685,CN106074569-A,A61K-031/575
3686,CN106074569-A,A61K-045/06
3687,CN106074506-A,A61K-031/4045
3688,CN106074506-A,A61P-031/14
3689,WO2016174485-A1,A23K-020/20
3690,WO2016174485-A1,A23K-050/30
3691,FR3035329-A1,A61K-035/74
3692,FR3035329-A1,A61P-031/04
3693,WO2016170176-A1,A61K-038/19
3694,WO2016170176-A1,A61K-038/20
3695,US2016311816-A1,A61K-031/506
3696,US2016311816-A1,A61K-045/06
3697,CN105998599-A,A61K-036/8966
