,PatentNumber,author
187,KR2019119391-A,YUN S W
188,KR2019119391-A,DUJIN K
189,KR2019119391-A,HYOUNG K Z
190,KR2019119391-A,PARK S
191,KR2019119391-A,SONG D S
192,WO2019197833-A1,GRIFFITHS M
193,WO2019196937-A1,LI H
194,WO2019196937-A1,XU Y
195,WO2019196937-A1,ZHAO Z
196,WO2019196937-A1,ZHU L
197,WO2019196937-A1,WANG W
198,WO2019196937-A1,QI T
199,WO2019199955-A1,MORICI L A
200,WO2019199955-A1,MCLACHLAN J B
201,WO2019199955-A1,DAVITT C J
202,WO2019199955-A1,KURTZ J R
203,US2019314372-A1,WU T Y
204,CN110331171-A,XIAO S
205,CN110331171-A,FANG L
206,CN110331171-A,PENG Q
207,CN110331171-A,WANG D
208,CN110331171-A,FANG P
209,CN110331171-A,ZHOU Y
210,CN110331171-A,LIU K
211,CN110317256-A,LIU X
212,CN110317256-A,ZHANG Z
213,CN110317256-A,HU X
214,CN110317256-A,LI Y
215,CN110317256-A,YI Y
216,CN110317256-A,WANG P
217,CN110314228-A,DONG J
218,CN110314228-A,CHEN R
219,CN110314228-A,ZHANG L
220,CN110305215-A,CHEN Y
221,CN110305215-A,LI J
222,CN110302192-A,YI Z
223,CN110302192-A,GAO S
224,CN110302192-A,SHAO T
225,CN110302192-A,QIU W
226,CN110302192-A,LIU M
227,WO2019189827-A1,ITO T
228,WO2019189827-A1,OGINO K
229,WO2019189827-A1,TSUJI M
230,WO2019189827-A1,BANDARU S
231,WO2019189827-A1,SHIMIZU Y
232,WO2019191295-A1,STRUTHERS M
233,WO2019191295-A1,DAVIS J H
234,WO2019191295-A1,DOYLE M L
235,WO2019191295-A1,MADIA P A
236,US2019298752-A1,SHALWITZ R
237,US2019298752-A1,RUEHLMANN A K
238,EP3546580-A1,GONZALEZ GONZALEZ L
239,EP3546580-A1,PINOL RIBAS J
240,EP3546580-A1,MONTAGE GIRALT J
241,EP3546580-A1,CAMATS MALET M
242,EP3546580-A1,QUEROL MURILLO E
243,EP3546580-A1,SITJA ARNAU M
244,CN110283938-A,HE D
245,CN110283938-A,LI G
246,CN110283938-A,SU D
247,WO2019179365-A1,CHEN Y
248,WO2019179365-A1,LI J
249,WO2019182947-A1,DAVISSON V J
250,WO2019182947-A1,LINDSTROM A R
251,WO2019180688-A2,KRAVTSOV D
252,WO2019180688-A2,KVOCHINA L I
253,WO2019180688-A2,GRAY N
254,WO2019180688-A2,SAINZ A S
255,CN110272480-A,YI Y
256,CN110272480-A,WANG P
257,CN110272480-A,SHEN X
258,CN110272480-A,TANG S
259,CN110272480-A,HU X
260,CN110272480-A,WEI Z
261,CN110272480-A,ZENG Z
262,CN110257557-A,HE D
263,CN110257557-A,LI J
264,CN110257557-A,LI G
265,CN110256552-A,HU X
266,CN110256552-A,ZHANG Z
267,CN110256552-A,LIU X
268,CN110256552-A,YI Y
269,CN110256552-A,LI Y
270,CN110256552-A,WANG P
271,CN110257357-A,XING Y
272,CN110257357-A,CHEN Z
273,CN110257357-A,XIE Q
274,CN110257357-A,CHEN X
275,WO2019178188-A1,BRACHT J
276,WO2019178188-A1,NELSON M
277,WO2019178188-A1,BELLOWS W
278,WO2019178188-A1,WALTERS-CONTE K
279,JP2019156807-A,MORIMOTO I
280,JP2019156807-A,HATANO R
281,JP2019156807-A,YAMADA T
282,JP2019156807-A,ONUMA K
283,WO2019175606-A1,PLEASS R
284,WO2019175606-A1,BLUNDELL P
285,US2019282694-A1,GARRY R F
286,US2019282694-A1,BRANCO L M
287,US2019282694-A1,BUNNELL B A
288,US2019282694-A1,WILSON R B
289,US2019282694-A1,HOPKINS S E
290,WO2019175605-A1,PLEASS R J
291,WO2019175605-A1,BLUNDELL P A
292,WO2019175436-A1,BOTTA M
293,WO2019175436-A1,CANDUCCI F
294,WO2019175436-A1,CAGNO V
295,WO2019175436-A1,LEMBO D
296,WO2019175436-A1,TINTORI C
297,WO2019175436-A1,BRAI A
298,WO2019175436-A1,PALOMBI N
299,WO2019173602-A1,PAINTER G R
300,WO2019173602-A1,PERRYMAN D
301,WO2019173602-A1,BLUEMLING G R
302,WO2019173756-A1,MASON C
303,WO2019173756-A1,VAN TIL N P
304,WO2019173756-A1,COOPER O
305,US2019274967-A1,LIN T
306,US2019274967-A1,CHEN M
307,US2019274967-A1,WANG K
308,US2019274967-A1,JAN H
309,CN110215456-A,PENG G
310,CN110215456-A,LIU Z
311,KR2018201-B1,KIM Y K
312,KR2018201-B1,JHEONG W H
313,KR2018201-B1,HYESUNG J
314,KR2018201-B1,SON K
315,KR2018201-B1,KIM J
316,KR2018201-B1,MEONG K W
317,KR2018201-B1,WOO C J
318,KR2018201-B1,WANG S J
319,KR2018201-B1,PARKJUNGYEUN
320,KR2018201-B1,HONGYUNJI
321,KR2019008-B1,LEE H
322,KR2019008-B1,KIM S
323,KR2019008-B1,LEE J Y
324,KR2019008-B1,KWON K H
325,KR2019008-B1,GWIN J D
326,KR2019008-B1,NHO J Y
327,KR2019008-B1,YUN S W
328,KR2019008-B1,AHN M J
329,CN110157839-A,GENG H
330,CN110157839-A,ZHU N
331,CN110157839-A,CAI L
332,CN110157839-A,SUN Y
333,CN110157839-A,XU C
334,CN110157839-A,YANG Z
335,CN110157839-A,WANG S
336,CN110157839-A,WU H
337,CN110157839-A,TAN W
338,US2019255085-A1,CLARKE M O N H
339,US2019255085-A1,FENG J Y
